date,canal,motif,agent,duree_secondes,statut,satisfaction
2024-05-10,Téléphone,Nouveau contrat,Agent D,60,Non résolu,2
2024-05-10,Email,Résiliation,Agent C,963,Résolu,5
2024-05-10,Chat,Nouveau contrat,Agent D,277,Escaladé,3
2024-05-10,Téléphone,Assistance technique,Agent C,224,Résolu,5
2024-05-12,Téléphone,Information,Agent A,629,Résolu,4
2024-05-12,Téléphone,Information,Agent B,295,Escaladé,4
2024-05-12,Téléphone,Facturation,Agent A,316,Résolu,5
2024-05-12,Téléphone,Résiliation,Agent D,173,Non résolu,2
2024-05-13,Téléphone,Information,Agent C,465,Résolu,3
2024-05-13,Chat,Information,Agent B,151,Résolu,4
2024-05-13,Chat,Facturation,Agent E,259,Escaladé,4
2024-05-13,Email,Assistance technique,Agent D,1380,Résolu,5
2024-05-13,Chat,Réclamation,Agent E,62,Résolu,5
2024-05-14,Téléphone,Résiliation,Agent E,830,Résolu,5
2024-05-14,Email,Assistance technique,Agent C,904,Escaladé,2
2024-05-14,Téléphone,Nouveau contrat,Agent A,876,Résolu,4
2024-05-14,Téléphone,Nouveau contrat,Agent E,844,Escaladé,4
2024-05-14,Téléphone,Nouveau contrat,Agent B,760,Résolu,5
2024-05-15,Téléphone,Information,Agent E,824,Résolu,5
2024-05-15,Réseaux sociaux,Nouveau contrat,Agent C,689,Résolu,5
2024-05-15,Téléphone,Information,Agent D,396,Escaladé,4
2024-05-15,Chat,Réclamation,Agent D,61,Escaladé,3
2024-05-15,Chat,Nouveau contrat,Agent B,533,Résolu,5
2024-05-16,Email,Facturation,Agent A,929,Résolu,5
2024-05-16,Téléphone,Assistance technique,Agent A,453,Résolu,5
2024-05-16,Email,Facturation,Agent C,1240,Non résolu,2
2024-05-16,Chat,Nouveau contrat,Agent C,401,Non résolu,2
2024-05-16,Chat,Nouveau contrat,Agent C,411,Résolu,4
2024-05-16,Téléphone,Nouveau contrat,Agent D,271,Résolu,5
2024-05-17,Téléphone,Nouveau contrat,Agent B,505,Résolu,4
2024-05-17,Chat,Facturation,Agent A,469,Résolu,4
2024-05-17,Email,Facturation,Agent C,674,Non résolu,1
2024-05-18,Chat,Réclamation,Agent D,304,Résolu,4
2024-05-18,Téléphone,Facturation,Agent B,630,Résolu,5
2024-05-18,Chat,Information,Agent B,137,Résolu,4
2024-05-19,Chat,Nouveau contrat,Agent D,70,Résolu,5
2024-05-19,Téléphone,Nouveau contrat,Agent D,624,Résolu,3
2024-05-19,Email,Résiliation,Agent D,904,Non résolu,2
2024-05-19,Téléphone,Résiliation,Agent C,240,Escaladé,3
2024-05-20,Chat,Résiliation,Agent E,502,Résolu,4
2024-05-20,Téléphone,Assistance technique,Agent A,86,Résolu,5
2024-05-21,Email,Réclamation,Agent D,862,Escaladé,3
2024-05-21,Chat,Réclamation,Agent B,446,Résolu,4
2024-05-21,Email,Résiliation,Agent D,710,Résolu,4
2024-05-22,Téléphone,Réclamation,Agent D,609,Escaladé,2
2024-05-22,Chat,Nouveau contrat,Agent E,600,Non résolu,1
2024-05-22,Chat,Assistance technique,Agent C,242,Escaladé,3
2024-05-22,Téléphone,Assistance technique,Agent E,472,Escaladé,4
2024-05-22,Téléphone,Réclamation,Agent C,323,Résolu,3
2024-05-22,Téléphone,Facturation,Agent E,753,Non résolu,2
2024-05-23,Chat,Nouveau contrat,Agent C,299,Non résolu,2
2024-05-24,Téléphone,Résiliation,Agent E,706,Résolu,5
2024-05-24,Téléphone,Réclamation,Agent A,161,Non résolu,3
2024-05-24,Chat,Assistance technique,Agent D,179,Résolu,3
2024-05-24,Chat,Facturation,Agent D,234,Résolu,3
2024-05-25,Téléphone,Information,Agent E,814,Résolu,4
2024-05-25,Chat,Réclamation,Agent B,339,Non résolu,1
2024-05-25,Téléphone,Nouveau contrat,Agent B,715,Résolu,4
2024-05-25,Téléphone,Information,Agent C,514,Escaladé,2
2024-05-25,Chat,Information,Agent E,416,Escaladé,3
2024-05-26,Téléphone,Résiliation,Agent C,142,Non résolu,1
2024-05-26,Chat,Facturation,Agent D,300,Résolu,5
2024-05-26,Téléphone,Information,Agent D,243,Non résolu,1
2024-05-27,Téléphone,Réclamation,Agent D,346,Escaladé,4
2024-05-27,Téléphone,Information,Agent E,464,Résolu,5
2024-05-27,Téléphone,Information,Agent A,542,Résolu,3
2024-05-28,Téléphone,Réclamation,Agent E,504,Résolu,5
2024-05-28,Chat,Information,Agent B,212,Non résolu,2
2024-05-29,Email,Facturation,Agent D,585,Escaladé,3
2024-05-30,Chat,Nouveau contrat,Agent A,135,Résolu,5
2024-05-31,Email,Facturation,Agent E,1378,Escaladé,2
2024-05-31,Téléphone,Assistance technique,Agent B,549,Non résolu,1
2024-05-31,Téléphone,Facturation,Agent A,100,Non résolu,3
2024-05-31,Téléphone,Réclamation,Agent A,523,Résolu,3
2024-06-01,Téléphone,Information,Agent E,448,Résolu,5
2024-06-01,Réseaux sociaux,Réclamation,Agent A,440,Escaladé,2
2024-06-01,Téléphone,Facturation,Agent B,301,Non résolu,2
2024-06-01,Email,Nouveau contrat,Agent C,484,Escaladé,2
2024-06-02,Email,Information,Agent B,1341,Escaladé,2
2024-06-02,Téléphone,Facturation,Agent C,312,Résolu,5
2024-06-02,Téléphone,Réclamation,Agent A,767,Résolu,3
2024-06-02,Téléphone,Réclamation,Agent D,117,Résolu,5
2024-06-02,Téléphone,Nouveau contrat,Agent A,623,Escaladé,2
2024-06-03,Téléphone,Résiliation,Agent A,316,Escaladé,2
2024-06-03,Téléphone,Réclamation,Agent B,782,Résolu,4
2024-06-03,Email,Résiliation,Agent D,1249,Résolu,4
2024-06-03,Chat,Facturation,Agent A,240,Non résolu,2
2024-06-04,Chat,Assistance technique,Agent D,535,Résolu,5
2024-06-04,Téléphone,Facturation,Agent B,770,Résolu,3
2024-06-05,Téléphone,Facturation,Agent B,820,Résolu,4
2024-06-05,Téléphone,Résiliation,Agent B,488,Résolu,5
2024-06-05,Chat,Assistance technique,Agent E,353,Résolu,5
2024-06-05,Téléphone,Facturation,Agent B,143,Escaladé,4
2024-06-05,Téléphone,Résiliation,Agent B,355,Résolu,5
2024-06-06,Téléphone,Résiliation,Agent C,361,Résolu,4
2024-06-06,Chat,Résiliation,Agent A,118,Résolu,4
2024-06-07,Réseaux sociaux,Information,Agent D,206,Résolu,4
2024-06-07,Téléphone,Réclamation,Agent D,97,Résolu,4
2024-06-07,Réseaux sociaux,Réclamation,Agent B,218,Résolu,5
2024-06-08,Chat,Réclamation,Agent D,146,Résolu,4
2024-06-08,Téléphone,Réclamation,Agent D,265,Résolu,4
2024-06-08,Réseaux sociaux,Résiliation,Agent D,331,Résolu,5
2024-06-08,Chat,Résiliation,Agent E,510,Escaladé,3
2024-06-09,Chat,Résiliation,Agent B,515,Escaladé,2
2024-06-09,Chat,Réclamation,Agent D,457,Escaladé,2
2024-06-09,Téléphone,Réclamation,Agent C,272,Non résolu,1
2024-06-09,Réseaux sociaux,Facturation,Agent C,270,Non résolu,2
2024-06-10,Téléphone,Nouveau contrat,Agent D,718,Non résolu,1
2024-06-10,Téléphone,Assistance technique,Agent E,900,Résolu,5
2024-06-10,Téléphone,Facturation,Agent B,659,Résolu,4
2024-06-10,Chat,Facturation,Agent B,133,Résolu,4
2024-06-10,Email,Information,Agent C,1729,Résolu,5
2024-06-11,Téléphone,Facturation,Agent A,515,Non résolu,1
2024-06-11,Téléphone,Information,Agent C,505,Non résolu,2
2024-06-12,Réseaux sociaux,Résiliation,Agent C,696,Résolu,5
2024-06-12,Chat,Facturation,Agent C,513,Résolu,4
2024-06-12,Téléphone,Facturation,Agent C,331,Résolu,4
2024-06-12,Email,Nouveau contrat,Agent D,1604,Résolu,5
2024-06-12,Téléphone,Information,Agent C,235,Résolu,3
2024-06-13,Téléphone,Nouveau contrat,Agent E,252,Escaladé,3
2024-06-13,Téléphone,Réclamation,Agent A,435,Résolu,4
2024-06-14,Chat,Facturation,Agent A,51,Résolu,5
2024-06-14,Réseaux sociaux,Résiliation,Agent C,646,Résolu,5
2024-06-14,Téléphone,Assistance technique,Agent E,205,Escaladé,3
2024-06-14,Chat,Résiliation,Agent E,597,Non résolu,1
2024-06-14,Chat,Réclamation,Agent E,593,Résolu,5
2024-06-15,Email,Facturation,Agent C,473,Résolu,5
2024-06-15,Email,Réclamation,Agent D,325,Non résolu,2
2024-06-15,Téléphone,Résiliation,Agent E,868,Résolu,4
2024-06-15,Téléphone,Facturation,Agent A,419,Résolu,4
2024-06-15,Téléphone,Information,Agent D,491,Résolu,4
2024-06-16,Téléphone,Information,Agent B,287,Résolu,5
2024-06-16,Téléphone,Réclamation,Agent E,138,Résolu,5
2024-06-17,Email,Réclamation,Agent A,596,Résolu,5
2024-06-17,Téléphone,Information,Agent A,664,Résolu,5
2024-06-18,Téléphone,Assistance technique,Agent E,634,Résolu,5
2024-06-18,Chat,Résiliation,Agent D,180,Non résolu,2
2024-06-19,Téléphone,Information,Agent B,266,Résolu,5
2024-06-19,Téléphone,Facturation,Agent A,734,Résolu,5
2024-06-20,Téléphone,Information,Agent E,197,Résolu,5
2024-06-20,Téléphone,Nouveau contrat,Agent D,183,Non résolu,3
2024-06-20,Chat,Information,Agent B,178,Résolu,3
2024-06-21,Email,Réclamation,Agent B,615,Résolu,3
2024-06-21,Chat,Réclamation,Agent E,390,Résolu,5
2024-06-22,Email,Nouveau contrat,Agent A,762,Résolu,5
2024-06-22,Téléphone,Assistance technique,Agent B,470,Résolu,3
2024-06-22,Chat,Résiliation,Agent B,551,Résolu,4
2024-06-22,Réseaux sociaux,Nouveau contrat,Agent D,148,Non résolu,1
2024-06-23,Réseaux sociaux,Nouveau contrat,Agent B,260,Résolu,3
2024-06-23,Téléphone,Information,Agent C,442,Résolu,5
2024-06-23,Email,Information,Agent B,1082,Résolu,4
2024-06-23,Téléphone,Information,Agent E,505,Résolu,5
2024-06-24,Téléphone,Information,Agent C,317,Résolu,5
2024-06-24,Chat,Assistance technique,Agent B,109,Escaladé,3
2024-06-24,Réseaux sociaux,Assistance technique,Agent E,277,Non résolu,2
2024-06-25,Téléphone,Réclamation,Agent D,389,Résolu,5
2024-06-25,Téléphone,Résiliation,Agent E,743,Résolu,4
2024-06-25,Téléphone,Information,Agent E,248,Résolu,4
2024-06-25,Téléphone,Nouveau contrat,Agent E,202,Résolu,4
2024-06-25,Réseaux sociaux,Réclamation,Agent A,642,Escaladé,3
2024-06-25,Téléphone,Résiliation,Agent A,535,Résolu,4
2024-06-25,Téléphone,Nouveau contrat,Agent E,805,Résolu,5
2024-06-26,Chat,Information,Agent C,159,Résolu,5
2024-06-26,Téléphone,Assistance technique,Agent A,434,Résolu,4
2024-06-27,Téléphone,Information,Agent B,209,Résolu,4
2024-06-27,Réseaux sociaux,Nouveau contrat,Agent A,502,Résolu,4
2024-06-27,Téléphone,Nouveau contrat,Agent E,749,Résolu,5
2024-06-27,Téléphone,Résiliation,Agent B,259,Escaladé,3
2024-06-28,Email,Réclamation,Agent D,585,Résolu,5
2024-06-29,Chat,Nouveau contrat,Agent C,88,Escaladé,2
2024-06-29,Téléphone,Résiliation,Agent B,573,Non résolu,1
2024-06-30,Téléphone,Réclamation,Agent C,824,Résolu,5
2024-06-30,Téléphone,Assistance technique,Agent C,407,Non résolu,3
2024-07-01,Email,Résiliation,Agent B,1586,Escaladé,2
2024-07-01,Téléphone,Facturation,Agent B,723,Résolu,4
2024-07-02,Email,Assistance technique,Agent E,656,Résolu,4
2024-07-03,Téléphone,Réclamation,Agent E,579,Résolu,5
2024-07-03,Chat,Nouveau contrat,Agent D,510,Résolu,5
2024-07-03,Chat,Résiliation,Agent C,547,Non résolu,1
2024-07-03,Email,Résiliation,Agent D,494,Escaladé,4
2024-07-03,Téléphone,Information,Agent C,533,Non résolu,1
2024-07-03,Téléphone,Nouveau contrat,Agent A,724,Résolu,4
2024-07-03,Chat,Résiliation,Agent C,154,Résolu,4
2024-07-03,Email,Assistance technique,Agent C,1672,Non résolu,1
2024-07-03,Chat,Réclamation,Agent A,535,Résolu,3
2024-07-04,Chat,Information,Agent A,263,Résolu,5
2024-07-04,Email,Résiliation,Agent B,1461,Résolu,5
2024-07-04,Chat,Nouveau contrat,Agent B,564,Résolu,5
2024-07-04,Chat,Nouveau contrat,Agent D,238,Escaladé,2
2024-07-04,Chat,Facturation,Agent D,74,Résolu,5
2024-07-05,Téléphone,Nouveau contrat,Agent C,884,Résolu,5
2024-07-06,Chat,Facturation,Agent D,465,Résolu,3
2024-07-07,Téléphone,Nouveau contrat,Agent C,852,Résolu,5
2024-07-08,Téléphone,Information,Agent B,446,Résolu,5
2024-07-08,Email,Résiliation,Agent B,839,Résolu,4
2024-07-08,Chat,Information,Agent A,102,Non résolu,1
2024-07-09,Téléphone,Facturation,Agent E,435,Résolu,4
2024-07-09,Téléphone,Résiliation,Agent C,563,Résolu,5
2024-07-09,Téléphone,Nouveau contrat,Agent C,645,Résolu,3
2024-07-09,Téléphone,Réclamation,Agent C,834,Résolu,5
2024-07-10,Chat,Réclamation,Agent D,333,Résolu,5
2024-07-11,Chat,Résiliation,Agent B,569,Escaladé,2
2024-07-11,Téléphone,Assistance technique,Agent D,410,Non résolu,2
2024-07-11,Téléphone,Réclamation,Agent D,290,Résolu,4
2024-07-11,Email,Information,Agent C,1385,Résolu,5
2024-07-11,Téléphone,Facturation,Agent E,155,Non résolu,1
2024-07-12,Téléphone,Information,Agent E,416,Résolu,3
2024-07-13,Téléphone,Résiliation,Agent E,104,Résolu,5
2024-07-13,Chat,Nouveau contrat,Agent E,579,Non résolu,2
2024-07-14,Chat,Assistance technique,Agent D,176,Non résolu,1
2024-07-14,Réseaux sociaux,Réclamation,Agent C,560,Résolu,3
2024-07-14,Téléphone,Information,Agent B,69,Résolu,3
2024-07-15,Réseaux sociaux,Facturation,Agent E,580,Résolu,5
2024-07-15,Téléphone,Résiliation,Agent C,800,Résolu,5
2024-07-15,Téléphone,Réclamation,Agent B,411,Résolu,5
2024-07-15,Réseaux sociaux,Nouveau contrat,Agent E,413,Escaladé,3
2024-07-15,Chat,Information,Agent E,127,Résolu,5
2024-07-16,Téléphone,Assistance technique,Agent D,436,Escaladé,4
2024-07-16,Téléphone,Information,Agent C,589,Résolu,5
2024-07-17,Chat,Réclamation,Agent E,292,Escaladé,2
2024-07-17,Téléphone,Nouveau contrat,Agent B,336,Escaladé,2
2024-07-18,Email,Nouveau contrat,Agent E,1418,Escaladé,3
2024-07-18,Email,Facturation,Agent D,819,Non résolu,2
2024-07-18,Chat,Réclamation,Agent C,173,Résolu,5
2024-07-18,Email,Assistance technique,Agent C,1580,Résolu,4
2024-07-18,Téléphone,Facturation,Agent E,735,Escaladé,3
2024-07-18,Réseaux sociaux,Information,Agent C,285,Escaladé,3
2024-07-19,Téléphone,Facturation,Agent B,175,Résolu,4
2024-07-19,Email,Réclamation,Agent C,595,Non résolu,1
2024-07-19,Email,Résiliation,Agent A,865,Résolu,3
2024-07-20,Téléphone,Réclamation,Agent B,618,Résolu,3
2024-07-20,Chat,Information,Agent C,308,Résolu,4
2024-07-20,Email,Assistance technique,Agent D,1730,Non résolu,2
2024-07-21,Téléphone,Réclamation,Agent D,397,Non résolu,1
2024-07-21,Chat,Assistance technique,Agent E,213,Résolu,4
2024-07-22,Téléphone,Facturation,Agent D,277,Résolu,5
2024-07-22,Réseaux sociaux,Information,Agent D,539,Résolu,5
2024-07-22,Réseaux sociaux,Résiliation,Agent B,700,Résolu,5
2024-07-22,Chat,Information,Agent E,463,Escaladé,3
2024-07-23,Réseaux sociaux,Résiliation,Agent D,609,Escaladé,3
2024-07-24,Chat,Nouveau contrat,Agent C,256,Escaladé,2
2024-07-24,Téléphone,Résiliation,Agent B,546,Résolu,5
2024-07-24,Réseaux sociaux,Assistance technique,Agent D,157,Résolu,5
2024-07-25,Chat,Réclamation,Agent B,418,Résolu,5
2024-07-25,Email,Facturation,Agent E,411,Résolu,3
2024-07-25,Téléphone,Nouveau contrat,Agent A,259,Résolu,4
2024-07-25,Téléphone,Assistance technique,Agent B,82,Résolu,5
2024-07-25,Chat,Résiliation,Agent B,139,Résolu,5
2024-07-25,Email,Facturation,Agent E,1087,Résolu,5
2024-07-26,Téléphone,Résiliation,Agent B,692,Non résolu,1
2024-07-27,Téléphone,Facturation,Agent D,480,Résolu,4
2024-07-27,Réseaux sociaux,Information,Agent B,362,Non résolu,3
2024-07-27,Téléphone,Facturation,Agent C,671,Résolu,5
2024-07-27,Chat,Réclamation,Agent C,557,Non résolu,2
2024-07-27,Téléphone,Nouveau contrat,Agent B,881,Non résolu,1
2024-07-29,Email,Information,Agent B,1736,Résolu,3
2024-07-29,Email,Nouveau contrat,Agent D,1764,Résolu,5
2024-07-30,Réseaux sociaux,Réclamation,Agent E,389,Résolu,4
2024-07-30,Téléphone,Facturation,Agent B,173,Résolu,5
2024-07-30,Email,Assistance technique,Agent D,642,Escaladé,2
2024-07-30,Réseaux sociaux,Nouveau contrat,Agent E,490,Escaladé,4
2024-07-31,Email,Réclamation,Agent B,1086,Escaladé,3
2024-07-31,Téléphone,Réclamation,Agent C,349,Non résolu,2
2024-07-31,Téléphone,Assistance technique,Agent E,434,Non résolu,2
2024-07-31,Email,Information,Agent A,844,Non résolu,2
2024-07-31,Téléphone,Résiliation,Agent E,309,Résolu,5
2024-07-31,Email,Résiliation,Agent B,1168,Non résolu,2
2024-07-31,Téléphone,Réclamation,Agent E,272,Résolu,4
2024-08-01,Chat,Réclamation,Agent B,419,Escaladé,3
2024-08-01,Réseaux sociaux,Assistance technique,Agent C,706,Escaladé,3
2024-08-01,Téléphone,Information,Agent B,843,Résolu,4
2024-08-02,Téléphone,Assistance technique,Agent C,798,Non résolu,1
2024-08-02,Téléphone,Facturation,Agent B,155,Escaladé,2
2024-08-02,Réseaux sociaux,Nouveau contrat,Agent D,479,Non résolu,2
2024-08-03,Téléphone,Nouveau contrat,Agent C,870,Résolu,3
2024-08-05,Téléphone,Information,Agent E,630,Résolu,4
2024-08-05,Chat,Nouveau contrat,Agent C,423,Résolu,5
2024-08-05,Téléphone,Nouveau contrat,Agent D,833,Résolu,4
2024-08-05,Chat,Nouveau contrat,Agent E,490,Résolu,4
2024-08-05,Chat,Résiliation,Agent E,439,Résolu,4
2024-08-06,Chat,Nouveau contrat,Agent D,112,Résolu,4
2024-08-06,Téléphone,Facturation,Agent C,367,Résolu,4
2024-08-07,Téléphone,Nouveau contrat,Agent B,448,Résolu,4
2024-08-07,Email,Nouveau contrat,Agent C,880,Résolu,4
2024-08-07,Chat,Assistance technique,Agent B,257,Résolu,5
2024-08-08,Email,Information,Agent E,956,Résolu,5
2024-08-08,Email,Réclamation,Agent B,1422,Escaladé,2
2024-08-08,Réseaux sociaux,Assistance technique,Agent E,445,Non résolu,1
2024-08-09,Téléphone,Réclamation,Agent D,693,Résolu,4
2024-08-09,Chat,Information,Agent C,303,Résolu,5
2024-08-09,Téléphone,Facturation,Agent C,190,Résolu,4
2024-08-09,Réseaux sociaux,Nouveau contrat,Agent E,687,Résolu,5
2024-08-10,Téléphone,Facturation,Agent C,254,Résolu,4
2024-08-10,Chat,Nouveau contrat,Agent D,422,Non résolu,1
2024-08-10,Réseaux sociaux,Information,Agent A,493,Résolu,4
2024-08-12,Téléphone,Information,Agent A,606,Résolu,4
2024-08-12,Chat,Assistance technique,Agent A,535,Résolu,4
2024-08-12,Chat,Réclamation,Agent D,221,Résolu,4
2024-08-12,Email,Facturation,Agent A,1548,Escaladé,3
2024-08-12,Réseaux sociaux,Facturation,Agent B,605,Non résolu,1
2024-08-13,Téléphone,Résiliation,Agent B,362,Résolu,4
2024-08-13,Téléphone,Assistance technique,Agent B,219,Escaladé,3
2024-08-13,Téléphone,Assistance technique,Agent E,720,Résolu,4
2024-08-13,Téléphone,Réclamation,Agent A,443,Résolu,5
2024-08-14,Chat,Information,Agent E,591,Résolu,4
2024-08-14,Téléphone,Réclamation,Agent D,695,Résolu,3
2024-08-14,Email,Information,Agent C,1419,Escaladé,3
2024-08-14,Téléphone,Facturation,Agent D,202,Non résolu,2
2024-08-14,Email,Réclamation,Agent E,1000,Escaladé,2
2024-08-14,Téléphone,Facturation,Agent E,146,Non résolu,1
2024-08-15,Téléphone,Facturation,Agent E,839,Résolu,4
2024-08-15,Email,Facturation,Agent C,1244,Résolu,3
2024-08-15,Réseaux sociaux,Nouveau contrat,Agent A,719,Non résolu,1
2024-08-16,Téléphone,Nouveau contrat,Agent E,214,Escaladé,2
2024-08-16,Téléphone,Information,Agent C,94,Résolu,3
2024-08-16,Chat,Réclamation,Agent E,482,Escaladé,3
2024-08-17,Téléphone,Assistance technique,Agent B,189,Non résolu,1
2024-08-18,Réseaux sociaux,Réclamation,Agent B,607,Résolu,4
2024-08-18,Téléphone,Réclamation,Agent E,570,Résolu,3
2024-08-18,Téléphone,Assistance technique,Agent E,670,Escaladé,2
2024-08-19,Téléphone,Facturation,Agent D,344,Résolu,5
2024-08-19,Email,Assistance technique,Agent D,1349,Escaladé,2
2024-08-19,Chat,Information,Agent A,498,Résolu,3
2024-08-20,Téléphone,Nouveau contrat,Agent C,491,Escaladé,2
2024-08-20,Téléphone,Information,Agent A,240,Non résolu,1
2024-08-20,Chat,Facturation,Agent B,169,Escaladé,2
2024-08-20,Chat,Résiliation,Agent E,367,Escaladé,4
2024-08-21,Téléphone,Assistance technique,Agent D,218,Non résolu,1
2024-08-21,Chat,Réclamation,Agent A,138,Non résolu,1
2024-08-22,Téléphone,Information,Agent B,559,Escaladé,2
2024-08-22,Téléphone,Nouveau contrat,Agent E,682,Non résolu,3
2024-08-22,Téléphone,Résiliation,Agent B,678,Non résolu,1
2024-08-23,Email,Résiliation,Agent B,380,Résolu,5
2024-08-24,Téléphone,Facturation,Agent D,623,Non résolu,1
2024-08-24,Email,Nouveau contrat,Agent E,631,Résolu,5
2024-08-24,Téléphone,Assistance technique,Agent A,859,Résolu,5
2024-08-24,Téléphone,Résiliation,Agent E,766,Non résolu,2
2024-08-24,Email,Nouveau contrat,Agent A,913,Non résolu,2
2024-08-25,Téléphone,Facturation,Agent A,762,Résolu,4
2024-08-26,Téléphone,Assistance technique,Agent D,848,Résolu,5
2024-08-26,Téléphone,Réclamation,Agent E,164,Résolu,3
2024-08-26,Chat,Facturation,Agent B,454,Escaladé,3
2024-08-26,Chat,Résiliation,Agent C,98,Résolu,5
2024-08-27,Chat,Réclamation,Agent A,147,Escaladé,3
2024-08-27,Email,Réclamation,Agent B,476,Escaladé,2
2024-08-27,Téléphone,Facturation,Agent C,529,Résolu,5
2024-08-28,Téléphone,Résiliation,Agent B,318,Non résolu,3
2024-08-28,Téléphone,Facturation,Agent A,280,Résolu,5
2024-08-28,Email,Assistance technique,Agent A,956,Escaladé,2
2024-08-28,Chat,Information,Agent D,518,Non résolu,1
2024-08-28,Téléphone,Résiliation,Agent D,184,Non résolu,3
2024-08-28,Chat,Résiliation,Agent D,331,Résolu,4
2024-08-28,Chat,Réclamation,Agent A,433,Résolu,4
2024-08-28,Téléphone,Assistance technique,Agent E,761,Résolu,4
2024-08-29,Téléphone,Assistance technique,Agent B,96,Non résolu,2
2024-08-29,Téléphone,Information,Agent C,617,Résolu,4
2024-08-29,Téléphone,Information,Agent C,483,Résolu,4
2024-08-30,Chat,Nouveau contrat,Agent D,185,Non résolu,1
2024-08-30,Téléphone,Résiliation,Agent D,683,Résolu,5
2024-08-30,Chat,Résiliation,Agent C,294,Résolu,5
2024-08-30,Chat,Réclamation,Agent A,328,Escaladé,4
2024-08-31,Téléphone,Information,Agent D,367,Résolu,3
2024-08-31,Chat,Assistance technique,Agent D,434,Résolu,5
2024-09-01,Téléphone,Facturation,Agent D,650,Résolu,5
2024-09-01,Téléphone,Assistance technique,Agent C,595,Non résolu,1
2024-09-02,Téléphone,Réclamation,Agent C,772,Non résolu,1
2024-09-03,Chat,Nouveau contrat,Agent B,450,Résolu,3
2024-09-03,Téléphone,Résiliation,Agent D,648,Non résolu,3
2024-09-03,Téléphone,Réclamation,Agent C,370,Résolu,4
2024-09-05,Téléphone,Nouveau contrat,Agent A,62,Résolu,5
2024-09-05,Téléphone,Réclamation,Agent E,336,Résolu,3
2024-09-05,Chat,Facturation,Agent D,575,Escaladé,4
2024-09-05,Téléphone,Assistance technique,Agent A,575,Résolu,4
2024-09-06,Téléphone,Résiliation,Agent B,653,Non résolu,2
2024-09-06,Téléphone,Résiliation,Agent C,744,Résolu,4
2024-09-06,Téléphone,Réclamation,Agent C,509,Non résolu,2
2024-09-06,Téléphone,Réclamation,Agent B,813,Résolu,4
2024-09-06,Téléphone,Information,Agent D,203,Escaladé,2
2024-09-06,Téléphone,Facturation,Agent B,783,Non résolu,2
2024-09-06,Téléphone,Facturation,Agent E,650,Résolu,4
2024-09-07,Chat,Résiliation,Agent A,252,Escaladé,3
2024-09-07,Téléphone,Résiliation,Agent E,874,Non résolu,2
2024-09-07,Chat,Nouveau contrat,Agent B,72,Résolu,5
2024-09-08,Réseaux sociaux,Nouveau contrat,Agent C,448,Résolu,5
2024-09-08,Téléphone,Assistance technique,Agent A,790,Résolu,4
2024-09-08,Téléphone,Réclamation,Agent C,828,Résolu,5
2024-09-08,Téléphone,Nouveau contrat,Agent C,899,Escaladé,2
2024-09-08,Téléphone,Nouveau contrat,Agent D,274,Résolu,5
2024-09-10,Chat,Assistance technique,Agent D,341,Résolu,3
2024-09-10,Chat,Facturation,Agent E,586,Résolu,5
2024-09-10,Téléphone,Résiliation,Agent E,564,Résolu,3
2024-09-11,Email,Assistance technique,Agent E,1139,Résolu,5
2024-09-12,Chat,Facturation,Agent E,177,Résolu,4
2024-09-12,Email,Assistance technique,Agent C,510,Résolu,5
2024-09-12,Téléphone,Information,Agent E,383,Résolu,5
2024-09-12,Chat,Facturation,Agent C,34,Résolu,5
2024-09-12,Email,Nouveau contrat,Agent C,1418,Résolu,5
2024-09-13,Chat,Nouveau contrat,Agent C,274,Résolu,5
2024-09-13,Téléphone,Information,Agent B,552,Escaladé,3
2024-09-13,Téléphone,Réclamation,Agent E,98,Résolu,5
2024-09-14,Téléphone,Information,Agent C,348,Escaladé,3
2024-09-14,Téléphone,Facturation,Agent E,610,Non résolu,2
2024-09-14,Téléphone,Résiliation,Agent D,384,Résolu,5
2024-09-14,Téléphone,Facturation,Agent C,692,Résolu,4
2024-09-15,Téléphone,Nouveau contrat,Agent C,211,Escaladé,2
2024-09-15,Email,Nouveau contrat,Agent C,679,Escaladé,3
2024-09-15,Téléphone,Résiliation,Agent C,484,Escaladé,2
2024-09-16,Téléphone,Réclamation,Agent E,816,Non résolu,3
2024-09-16,Téléphone,Information,Agent B,258,Résolu,3
2024-09-17,Chat,Information,Agent D,402,Non résolu,2
2024-09-17,Téléphone,Résiliation,Agent E,760,Escaladé,3
2024-09-17,Email,Réclamation,Agent E,308,Résolu,4
2024-09-18,Réseaux sociaux,Assistance technique,Agent E,720,Résolu,5
2024-09-18,Chat,Assistance technique,Agent D,74,Résolu,5
2024-09-19,Téléphone,Nouveau contrat,Agent A,287,Non résolu,2
2024-09-19,Téléphone,Information,Agent A,195,Résolu,5
2024-09-19,Téléphone,Nouveau contrat,Agent D,636,Résolu,5
2024-09-21,Téléphone,Assistance technique,Agent B,81,Résolu,5
2024-09-21,Réseaux sociaux,Nouveau contrat,Agent A,409,Non résolu,2
2024-09-22,Téléphone,Facturation,Agent D,676,Résolu,5
2024-09-22,Téléphone,Facturation,Agent E,775,Résolu,4
2024-09-23,Téléphone,Résiliation,Agent C,665,Résolu,5
2024-09-23,Réseaux sociaux,Nouveau contrat,Agent B,143,Résolu,3
2024-09-23,Chat,Nouveau contrat,Agent E,364,Résolu,4
2024-09-23,Email,Nouveau contrat,Agent B,1319,Résolu,4
